policy,kind,seed,seed_index,step,sim_time,decision_count,wip,jobs_exited,action,rule,entropy,chosen_prob,p_SPT-SMPT,p_SPT-SRWT,p_LPT-MMUR,p_LPT-SMPT,p_SRT-SRWT,p_SRT-SMPT,p_LRT-MMUR,p_FIFO-SRWT
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,72,382.78,73,7,8,6,LRT-MMUR,2.04933,0.16176,0.15813,0.15532,0.09696,0.09576,0.08219,0.10827,0.16176,0.14161
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,73,389.66,74,7,8,6,LRT-MMUR,2.04572,0.17367,0.15546,0.15659,0.09357,0.1025,0.07716,0.11022,0.17367,0.13083
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,74,391.48,75,7,8,6,LRT-MMUR,2.04928,0.16176,0.15809,0.15533,0.09701,0.09576,0.08205,0.10829,0.16176,0.1417
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,75,397.92,76,6,9,6,LRT-MMUR,2.04495,0.17447,0.15641,0.15607,0.09419,0.10178,0.07608,0.11076,0.17447,0.13024
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,76,423.04,77,5,10,6,LRT-MMUR,2.04779,0.16264,0.16055,0.15488,0.09854,0.09455,0.07931,0.10962,0.16264,0.13991
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,77,430.0,78,4,11,6,LRT-MMUR,2.04332,0.17586,0.15831,0.15536,0.09549,0.10037,0.07376,0.11235,0.17586,0.1285
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,78,445.0,79,4,11,6,LRT-MMUR,2.04637,0.1629,0.16235,0.15552,0.0997,0.09435,0.07625,0.11147,0.1629,0.13746
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,79,445.86,80,4,11,6,LRT-MMUR,2.04605,0.16576,0.16288,0.15136,0.10049,0.09484,0.07502,0.11209,0.16576,0.13755
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,80,458.38,81,4,11,6,LRT-MMUR,2.04605,0.16568,0.16285,0.15145,0.1005,0.09482,0.07502,0.11206,0.16568,0.13762
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,81,479.02,82,3,12,6,LRT-MMUR,2.04396,0.1737,0.16113,0.15193,0.09805,0.10105,0.0714,0.1162,0.1737,0.12654
